date_order,User_ID,product,kol,price
2024-06-13,50612638,bread,27,44684
2024-06-08,751375839,bread,20,20469
2024-02-04,755938066,beer,5,24051
2024-03-30,406445918,boots,17,68763
2024-03-31,1451970835,buter,10,83675
2024-06-03,1741179942,bal,26,5312
2024-05-04,1017411894,bal,12,94301
2024-06-17,199551953,bal,26,32712
2024-02-27,1205408199,bread,45,75063
2024-02-15,730465068,beer,50,20244
2024-04-07,1691877565,buter,46,95644
2024-01-03,89705554,bal,10,70778
2024-03-31,135090941,bread,36,17585
2024-05-04,970035994,beer,36,60514
2024-02-19,229480806,beer,16,54656
2024-01-31,365629472,bread,18,43591
2024-03-20,376204385,bal,21,5258
2024-06-14,1558342629,bal,13,31867
2024-07-27,130024828,bal,47,74566
2024-03-09,1276278529,bal,40,23497
2024-05-05,1966799976,bread,49,83937
2024-06-11,1413758912,boots,48,63142
2024-01-03,1968663338,beer,13,75685
2024-07-11,713875324,boots,13,1969
2024-05-23,859930118,beer,33,48045
2024-01-06,446756261,boots,26,75753
2024-04-04,97001345,beer,48,7991
2024-07-15,716308272,bread,17,98965
2024-02-28,564124626,boots,45,40040
2024-05-23,237787926,boots,47,87177
2024-03-09,1388972595,bal,35,4308
2024-01-16,291089874,beer,11,99545
2024-04-24,1401622197,bal,26,58203
2024-02-17,1861756259,boots,20,87378
2024-05-19,1487922053,bal,34,86685
2024-06-29,1471176395,bread,44,45152
2024-03-09,1792156711,buter,50,12064
2024-01-30,549565372,bread,33,91757
2024-05-28,1737649333,boots,11,82239
2024-04-13,284955710,bal,28,35722
2024-04-18,1789393123,buter,6,87935
2024-05-12,417654647,bal,1,84430
2024-04-23,1111760472,boots,32,40304
2024-03-31,110038383,bal,21,88755
2024-07-05,55494257,bal,26,31310
2024-04-20,285208094,bal,15,31503
2024-01-06,1922682855,bread,21,88914
2024-02-23,1006233009,bread,40,49264
2024-04-07,697025142,boots,43,90863
2024-02-09,1625227981,buter,18,19090
2024-06-19,1414584387,buter,19,50802
2024-04-03,1500667657,beer,26,14277
2024-03-19,406540370,beer,23,63142
2024-02-04,1665108114,boots,46,11783
2024-02-26,547991184,boots,40,79785
2024-02-01,1444277545,beer,8,62858
2024-04-03,1862081764,beer,28,88239
2024-01-07,384603804,boots,12,1623
2024-07-24,1134935471,buter,20,28796
2024-01-29,1576788212,beer,32,1459
2024-03-03,1920529068,boots,4,28268
2024-06-04,275415022,buter,35,68389
2024-06-01,714284686,buter,14,41141
2024-06-16,449510678,boots,19,86931
2024-06-24,746459622,beer,16,93584
2024-01-18,281764748,bal,21,98331
2024-03-26,738901347,bal,6,89524
2024-05-21,1998764453,bal,41,77311
2024-07-25,58853034,bread,31,72011
2024-04-01,1069062078,boots,21,77747
2024-06-25,579361060,buter,27,55806
2024-01-18,329227860,boots,13,48553
2024-03-23,240817675,bread,34,73
2024-04-02,180599412,buter,19,69804
2024-05-07,899318861,bal,6,58244
2024-02-20,501226821,boots,4,14661
2024-05-03,1000974963,beer,21,42494
2024-03-06,887649131,bal,8,31808
2024-01-19,1142215273,bread,24,36799
2024-03-01,1020286844,bread,44,51173
2024-01-17,696378038,bread,48,21391
2024-05-23,220383340,beer,32,3984
2024-02-28,559148273,boots,34,38648
2024-03-16,717953377,bread,27,59920
2024-04-03,1679213269,bal,39,99459
2024-02-12,1775862101,bal,45,7603
2024-06-22,583124453,beer,9,5355
2024-06-09,927865450,buter,50,40484
2024-01-07,1868154143,bal,27,8929
2024-02-19,488561263,beer,14,35577
2024-01-19,1069049601,bread,38,18986
2024-07-05,226821613,beer,48,62795
2024-01-13,706840282,bal,31,89140
2024-04-06,690526974,boots,3,23829
2024-02-05,1964877419,buter,33,65504
2024-02-01,211558368,beer,35,39318
2024-01-31,429097435,bal,42,71113
2024-04-13,336107499,bread,46,64938
2024-04-08,1726596888,bal,20,24166
2024-01-29,910051843,buter,38,65324
2024-06-12,1433854891,bal,25,1547
2024-01-02,1052802960,bal,6,40781
2024-06-23,1027278797,boots,3,53926
2024-06-15,1514451955,beer,2,71886
2024-04-19,1684490095,beer,35,49065
2024-05-17,1710049982,beer,25,71532
2024-02-05,801347595,buter,34,7515
2024-06-13,653237716,bal,7,47351
2024-07-10,243616154,boots,37,84696
2024-07-19,151142235,bal,30,88997
2024-02-11,637395489,boots,33,93858
2024-06-09,830606792,buter,49,86831
2024-03-18,1988504774,beer,45,86660
2024-07-10,174005265,bal,45,32001
2024-06-09,153953775,bread,17,31710
2024-05-30,1111159711,bal,49,60470
2024-02-20,1946911497,bread,25,31399
2024-05-27,828283096,beer,17,4986
2024-04-24,942866503,beer,42,48220
2024-04-20,1629582480,bread,45,90025
2024-07-01,1898713117,beer,17,90622
2024-06-13,66967769,bal,22,91175
2024-04-07,575350495,buter,48,16881
2024-01-01,36829947,beer,46,45328
2024-01-04,123684642,beer,14,91602
2024-05-26,1424399688,boots,43,17181
2024-05-31,1777191349,bread,9,22990
2024-07-19,629323330,bal,38,60483
2024-01-13,6876250,beer,43,8451
2024-03-18,882359533,beer,26,65072
2024-04-28,768493987,boots,30,89938
2024-03-16,1767699282,bal,22,27068
2024-02-09,1000349278,bread,20,90057
2024-07-27,1918886382,buter,38,68332
2024-06-26,1896427164,beer,18,44484
2024-05-27,379836717,boots,48,64905
2024-06-21,1724437555,bal,36,82260
2024-04-25,68873481,bal,11,22449
2024-04-08,157953835,bread,23,82394
2024-04-18,1340083055,bal,47,52382
2024-02-26,1233117416,buter,50,86634
2024-04-20,749198141,beer,32,98096
2024-02-19,212257481,bread,10,96280
2024-04-12,1770518291,beer,39,92592
2024-07-12,1902746071,bal,7,84571
2024-07-14,72167967,buter,15,4057
2024-04-11,655206414,boots,18,49828
2024-05-25,1975779491,buter,43,74178
2024-06-21,1878909155,buter,11,34633
2024-03-17,1195414802,bal,39,76122
2024-07-23,1023312855,bread,21,84772
2024-03-29,1850840214,buter,22,19652
2024-03-10,1024153600,bread,30,52114
2024-03-31,1526924479,boots,2,48810
2024-06-20,262865844,beer,31,73872
2024-01-18,56719664,buter,17,12578
2024-04-13,237467103,bread,31,12275
2024-07-01,657126598,buter,24,4304
2024-01-06,1055131309,beer,36,76582
2024-02-14,459332934,boots,22,89875
2024-05-25,307916233,bal,16,56931
2024-02-06,1625092337,boots,35,19489
2024-05-26,1255025827,boots,4,79253
2024-01-05,964618712,beer,47,94390
2024-07-15,1727226150,beer,1,66660
2024-03-06,925467575,buter,1,14840
2024-06-16,362117634,beer,37,84347
2024-06-05,1812376612,buter,49,2239
2024-06-08,1873801771,buter,7,70145
2024-05-23,960803385,beer,36,13048
2024-04-17,1081186432,bal,50,87821
2024-03-10,1664909866,buter,26,4911
2024-06-19,1874122217,buter,45,80449
2024-04-20,1323012330,bread,35,94643
2024-02-22,1543107371,beer,18,12768
2024-02-07,1370586200,buter,22,23683
2024-05-04,1283096582,beer,46,46470
2024-02-29,913750907,boots,40,26561
2024-06-06,1848956241,bal,17,12308
2024-04-22,1256947641,bal,47,76129
2024-05-05,685527211,bal,37,68558
2024-01-25,440142535,boots,26,51679
2024-04-04,1040447732,bal,33,83770
2024-06-14,1328867231,buter,2,75100
2024-01-24,136551746,buter,33,64401
2024-06-25,1122038038,boots,37,57759
2024-05-18,83441395,bal,25,63132
2024-05-13,846864860,buter,21,94579
2024-01-10,1505448795,bread,35,60830
2024-04-10,310851365,bal,4,69513
2024-02-18,1203475133,bal,18,96534
2024-01-21,1307686898,bread,1,16349
2024-01-17,892343067,buter,37,53879
2024-04-26,467546028,boots,26,7294
2024-06-30,1003126319,buter,17,98232
2024-03-04,1584998028,boots,36,23460
2024-03-11,1147852269,boots,15,2164
2024-06-21,780917033,beer,10,90500
2024-06-17,55928987,bread,13,72964
2024-03-02,1784315201,boots,14,89513
2024-02-16,376448207,bal,5,81395
2024-04-01,1723639302,beer,37,79520
2024-05-31,1578214257,boots,37,98537
2024-04-10,1060812766,boots,48,60393
2024-05-20,1448466540,buter,37,18700
2024-06-20,53991235,beer,4,68833
2024-04-11,1455615029,bread,27,85717
2024-03-12,298400678,boots,37,83412
2024-05-28,1768901727,boots,45,14648
2024-01-30,1707259931,bread,44,91366
2024-01-10,191844283,buter,8,4700
2024-05-26,720063850,beer,12,57292
2024-01-28,429112741,beer,50,65668
2024-02-27,1853439114,bread,16,38938
2024-02-17,404205240,buter,50,16190
2024-04-23,1229534482,buter,29,52908
2024-04-17,1579264259,bal,11,63165
2024-05-12,1581530380,bal,36,58535
2024-04-01,223565892,boots,21,19223
2024-02-18,784530245,boots,38,11953
2024-07-18,625510396,bread,32,86449
2024-05-31,1237986672,boots,30,15434
2024-04-24,1923273118,boots,35,25403
2024-01-08,1880542861,bread,28,64889
2024-05-05,731980651,boots,15,5716
2024-02-27,152991973,boots,47,21541
2024-07-13,778679104,bread,18,29922
2024-05-11,1481232576,bal,9,8979
2024-04-18,399487938,bal,33,71706
2024-03-24,1453874159,bread,32,82297
2024-07-07,1879370209,boots,1,331
2024-02-28,1306223861,buter,9,74383
2024-07-07,649730688,bread,43,88981
2024-05-04,29502130,boots,21,65896
2024-06-20,444571475,boots,11,55438
2024-05-22,1194015860,boots,6,97341
2024-03-20,1695926631,buter,21,12246
2024-04-01,123356345,buter,2,12835
2024-05-09,1424595559,boots,48,27307
2024-01-13,103457235,buter,33,55719
2024-06-21,985553303,boots,39,32158
2024-07-22,817582211,boots,48,72336
2024-07-27,1229177602,buter,3,73826
2024-02-18,960231185,bal,42,70923
2024-04-08,1935663993,bread,7,54195
2024-03-01,1920768772,bread,9,63150
2024-07-24,1422907048,bal,47,7174
2024-04-07,583648740,beer,34,34792
2024-04-12,417841536,bal,23,75519
2024-01-30,1696204618,bal,16,36993
2024-05-08,909900772,bread,15,68751
2024-04-12,681955792,bread,31,44668
2024-04-15,19473255,beer,28,72158
2024-02-17,512132832,bal,6,79722
2024-06-12,1587841881,beer,49,49127
2024-07-18,714290946,beer,3,60428
2024-05-22,1101405841,beer,45,25292
2024-01-10,907929668,beer,10,1846
2024-06-01,1307600570,boots,42,67249
2024-05-16,1928880702,buter,41,5054
2024-01-20,1646156973,bal,40,74280
2024-04-08,1429959060,bal,43,61077
2024-02-17,900356968,bread,27,27410
2024-06-27,332354189,bal,34,77774
2024-05-28,234717532,bal,21,22104
2024-06-16,620326966,boots,34,25622
2024-06-28,946928270,boots,5,34669
2024-03-17,735033734,beer,33,46567
2024-01-08,1244446350,beer,14,31117
2024-07-22,1061930988,boots,25,66311
2024-06-02,1049515221,beer,30,3848
2024-02-19,1028854909,beer,18,28853
2024-06-27,1253009691,beer,3,57990
2024-06-06,789596953,beer,15,20327
2024-02-12,249505324,bal,28,3949
2024-07-23,366248404,boots,32,88209
2024-02-09,1004773769,bal,16,54328
2024-04-04,1661305457,beer,31,98699
2024-04-18,586629683,buter,34,3315
2024-07-15,1107993526,bread,15,63500
2024-04-20,1837255501,bal,26,81392
2024-01-27,1888040148,beer,42,67016
2024-04-16,1011377932,bal,21,8240
2024-03-09,1453769916,boots,47,39137
2024-04-26,1940430377,buter,40,84286
2024-04-22,1968745072,boots,50,20451
2024-07-02,1454829617,beer,38,2439
2024-05-26,1631962897,buter,48,59523
2024-03-17,1532585211,buter,20,92080
2024-05-27,237146209,buter,5,75104
2024-05-29,270574566,beer,31,64254
2024-02-24,1312028877,buter,39,45929
2024-02-23,1491795361,bread,18,12410
2024-05-29,1276986310,boots,2,14208
2024-01-25,160405710,boots,18,78973
2024-01-02,1552461026,bal,3,24143
2024-02-03,555815622,beer,24,78909
2024-01-03,1250133334,beer,18,46173
2024-05-17,1078607974,buter,30,73729
2024-01-03,923926902,bal,17,26374
2024-03-14,1708985471,bal,30,67375
2024-04-24,1465855400,beer,28,23961
2024-01-28,1535772946,bread,18,86417
2024-06-11,1463306160,boots,33,95790
2024-01-30,1490428423,boots,6,19424
2024-04-10,676991344,beer,1,45934
2024-01-10,1649928421,buter,27,61360
2024-01-24,1006962731,buter,8,24249
2024-05-08,272840884,bread,37,82182
2024-02-05,1371450147,bal,48,61672
2024-05-31,787160292,bread,11,19678
2024-01-19,1184570907,buter,25,19283
2024-01-05,293225564,buter,48,63871
2024-03-06,1967566456,boots,40,15375
2024-03-03,1469834943,beer,38,56661
2024-04-04,1844120474,bal,38,57078
2024-04-04,1481018703,beer,35,82555
2024-05-19,1707438523,bread,48,93737
2024-04-24,681669701,beer,20,6117
2024-02-11,1997413429,bread,15,88375
2024-07-21,1680216556,bal,15,34296
2024-06-18,471372951,bread,13,56238
2024-04-01,1743672476,boots,25,61339
2024-01-06,1958809302,buter,10,78689
2024-04-02,535543831,bal,19,81529
2024-05-22,523761557,bread,25,34108
2024-05-02,1018460659,boots,18,34074
2024-05-29,979549898,buter,33,35972
2024-03-26,58635724,bal,2,12925
2024-06-19,136396337,bread,8,43685
2024-07-01,700929982,bal,10,28013
2024-02-27,1127172663,bal,42,65759
2024-02-05,257708751,bread,11,4449
2024-06-07,1345996208,bread,34,91878
2024-05-29,1449255582,bal,50,91688
2024-01-05,1523857357,bal,26,68485
2024-06-29,1056412949,boots,12,83393
2024-07-19,1871793134,bread,46,42261
2024-06-06,618730819,bread,18,2123
2024-05-30,1137124890,beer,43,88048
2024-02-26,20531722,buter,20,35521
2024-01-31,1283078551,bal,22,78708
2024-07-15,1549824636,buter,5,32656
2024-04-14,171273115,bal,19,59297
2024-03-12,1711843712,beer,28,1787
2024-07-13,872244405,buter,38,67066
2024-03-15,1805298210,bal,17,64364
2024-06-06,1419977376,boots,5,24453
2024-05-13,500481008,boots,16,22173
2024-02-08,1471670569,beer,37,48304
2024-04-26,1694237645,bal,3,51851
2024-01-22,1621451109,bal,13,67304
2024-04-01,552853083,bread,17,41102
2024-02-20,568385425,beer,12,10470
2024-01-09,11941310,bal,3,50356
2024-07-02,1648318167,bal,19,63316
2024-06-01,70129147,buter,47,58416
2024-01-01,1555535712,buter,20,47813
2024-04-27,508868546,bread,30,78214
2024-04-01,1621183582,bal,3,9871
2024-05-17,1199274347,bread,26,17644
2024-05-05,1103503682,bal,35,72560
2024-02-24,1355785797,buter,40,63707
2024-03-03,1042143253,boots,4,18231
2024-02-22,248282039,beer,38,76936
2024-07-06,890832583,boots,14,14892
2024-07-03,220072415,boots,21,55437
2024-01-05,1027438052,bread,43,37117
2024-07-04,1154775857,buter,3,946
2024-07-18,268546353,beer,2,78130
2024-06-15,899989834,buter,9,75326
2024-05-26,1061096529,boots,35,76078
2024-01-24,1854918995,bal,25,46738
2024-05-27,841395475,buter,42,93496
2024-03-28,873616341,boots,34,45828
2024-04-08,1945214802,beer,38,20320
2024-01-18,995356339,bread,24,66757
2024-01-30,850470224,beer,42,54068
2024-02-26,287445661,boots,17,39436
2024-05-09,798411203,beer,38,43292
2024-07-27,1877525238,boots,7,53819
2024-05-07,225867418,boots,39,2472
2024-05-10,1546089027,bread,33,36839
2024-01-31,521741080,bread,9,60374
2024-01-30,683168973,bread,42,18903
2024-01-26,511357743,bal,31,17216
2024-06-08,4721901,bal,22,85516
2024-03-24,1251489039,boots,48,15581
2024-01-29,381025286,boots,20,42964
2024-03-18,1829885727,boots,40,50071
2024-01-31,1496724015,bal,21,27197
2024-05-06,1635920124,bal,38,23164
2024-01-22,1277244337,bread,5,97114
2024-07-08,1059652007,beer,34,64133
2024-06-24,689751674,beer,17,56335
2024-03-30,1665742793,boots,47,51621
2024-07-10,1646543853,boots,27,61858
2024-07-23,1605582705,boots,36,27351
2024-02-28,612979553,beer,21,94422
2024-07-21,557627242,beer,20,10432
2024-01-05,733821086,beer,16,24224
2024-05-07,646483518,boots,4,55013
2024-04-10,1800909261,boots,33,3879
2024-04-25,758754231,bread,35,91908
2024-06-04,966926039,beer,19,2315
2024-01-24,1967787025,boots,35,28662
2024-05-01,308179186,buter,31,64736
2024-05-17,1741714275,boots,49,52981
2024-02-05,463589804,beer,18,70072
2024-06-25,151082022,buter,27,80561
2024-01-16,496128602,buter,25,67270
2024-05-12,1778278470,boots,36,9823
2024-05-20,1613947852,boots,38,34885
2024-05-09,162925385,boots,12,97282
2024-07-04,1970912059,bal,5,99643
2024-05-27,1453488335,bal,29,31716
2024-05-01,1779550295,boots,42,78151
2024-04-10,945467589,bal,17,40922
2024-01-07,354768764,buter,11,90324
2024-01-30,192073614,bread,46,78171
2024-01-31,198732784,bread,4,41144
2024-01-23,913650252,bread,14,19766
2024-01-30,757173589,bread,49,50365
2024-03-19,1509500901,boots,50,73861
2024-04-13,903811146,buter,29,77769
2024-06-21,1134123465,bal,45,12791
2024-02-10,755866420,buter,46,57265
2024-06-15,1155656839,buter,36,8919
2024-01-26,1531124121,bread,40,61185
2024-02-15,1311322556,buter,26,61684
2024-06-03,122216044,boots,13,62905
2024-01-16,768019548,bal,19,94252
2024-07-23,1301649672,buter,18,29214
2024-06-28,50155833,bal,20,35475
2024-02-16,1340510286,boots,50,39666
2024-06-25,1503026027,buter,22,7297
2024-03-04,1370182775,bal,47,42604
2024-02-14,20427374,buter,16,10548
2024-02-14,1674033653,buter,47,91816
2024-02-06,1002304271,boots,16,37900
2024-02-28,1752457342,boots,34,56241
2024-05-16,1183590242,bal,43,95755
2024-03-22,358579582,beer,44,11026
2024-02-09,396458683,buter,24,63268
2024-02-23,876141393,boots,10,29591
2024-02-07,1791222761,boots,19,94131
2024-01-25,828966733,bal,40,57801
2024-07-08,630701612,beer,47,35396
2024-05-05,1804746281,buter,38,64506
2024-07-05,425038281,boots,24,23539
2024-05-22,418431822,buter,5,25294
2024-04-16,834346523,beer,49,16586
2024-01-20,1066263098,bread,12,45377
2024-01-27,90620813,bread,38,49102
2024-06-16,978876202,buter,16,60255
2024-01-30,1448994138,bal,3,2512
2024-06-13,1301914980,beer,16,42694
2024-07-17,787898585,beer,25,41176
2024-06-29,355052680,bread,42,40759
2024-05-05,1201175080,buter,4,72958
2024-06-06,1430289504,bread,34,29166
2024-05-20,634930849,bal,2,45625
2024-05-12,1463321646,boots,30,42144
2024-05-03,1750699622,boots,36,17181
2024-03-04,1221418826,bread,9,21160
2024-06-29,355882599,beer,36,89317
2024-02-05,294900269,buter,4,77390
2024-03-08,1955084436,beer,18,18472
2024-04-09,1479043068,boots,49,47422
2024-07-18,615715516,beer,2,48990
2024-04-07,1781305622,beer,20,4846
2024-06-19,1725765168,beer,20,56610
2024-07-02,1000952148,bread,50,81568
2024-02-25,1495125857,buter,15,97704
2024-03-08,117923522,buter,21,5773
2024-02-21,664861647,buter,27,18749
2024-07-19,655942238,bal,44,85859
2024-04-20,975122169,bread,37,98178
2024-06-28,298379562,buter,49,94256
2024-07-23,1068446466,boots,21,74200
2024-01-14,1445248538,bread,28,47939
2024-02-24,296625670,bread,50,92803
2024-06-28,1689045852,boots,14,33751
2024-07-05,316209672,bread,24,67542
2024-02-02,1782872560,buter,25,7749
2024-02-18,1333847587,beer,3,22075
2024-04-08,1241802519,buter,2,88976
2024-07-12,1261369051,buter,32,5058
2024-04-04,1289719389,bal,14,49613
2024-05-31,872758017,boots,44,22915
2024-05-11,735969727,buter,16,3689
2024-06-01,1083125154,boots,50,1182
2024-01-22,231381011,beer,23,66017
2024-02-06,1234412061,bread,20,53334
2024-05-11,80013795,bread,24,36476
2024-04-12,1289632342,bal,29,97969
2024-02-14,271459140,boots,18,28430
2024-06-02,826862241,bread,6,3689
2024-07-20,1483149494,bread,46,38085
2024-03-11,338533402,boots,11,48640
2024-01-23,1812264194,beer,42,64013
2024-04-01,1228266198,bal,3,41256
2024-03-30,1830897406,beer,17,92245
2024-04-14,1050067006,buter,45,23204
2024-02-05,1496334918,beer,17,22277
2024-05-24,97867941,boots,4,79737
2024-01-05,458190677,beer,13,69710
2024-05-28,141881010,bread,18,77418
2024-07-06,278183567,bread,20,70231
